x,y
766957.3608312283,3701092.332679821
767019.6049378067,3700596.222136498
767081.8490443851,3700100.1115931747
767144.0931509635,3699604.0010498515
767206.337257542,3699107.8905065283
767268.5813641204,3698611.779963205
767330.8254706988,3698115.669419882
767393.0695772772,3697619.5588765587
767455.3136838556,3697123.4483332355
767517.557790434,3696627.3377899122
767579.8018970124,3696131.227246589
767642.0460035908,3695635.116703266
767704.2901101692,3695139.0061599426
767766.5342167476,3694642.8956166194
767828.778323326,3694146.785073296
767891.0224299044,3693650.674529973
767953.2665364828,3693154.5639866497
768015.5106430613,3692658.4534433265
768077.7547496397,3692162.3429000033
768139.9988562181,3691666.23235668
768202.2429627965,3691170.121813357
768264.4870693749,3690674.0112700337
768326.7311759533,3690177.9007267104
768388.9752825317,3689681.790183387
768451.2193891101,3689185.679640064
768513.4634956885,3688689.569096741
768575.7076022669,3688193.4585534176
768637.9517088453,3687697.3480100944
768700.1958154237,3687201.237466771
768762.4399220021,3686705.126923448
768824.6840285806,3686209.0163801247
768886.928135159,3685712.9058368015
768949.1722417374,3685216.7952934783
769011.4163483158,3684720.684750155
769073.6604548942,3684224.574206832
769135.9045614726,3683728.4636635086
769198.148668051,3683232.3531201854
769260.3927746294,3682736.242576862
769322.6368812078,3682240.132033539
769384.8809877862,3681744.021490216
769447.1250943646,3681247.9109468926
769509.369200943,3680751.8004035694
769571.6133075214,3680255.689860246
769633.8574140999,3679759.579316923
769696.1015206783,3679263.4687735997
769758.3456272567,3678767.3582302765
769820.5897338351,3678271.2476869533
769882.8338404135,3677775.13714363
769945.0779469919,3677279.026600307
770007.3220535703,3676782.9160569836
770069.5661601487,3676286.8055136604
770131.8102667271,3675790.694970337
770194.0543733055,3675294.584427014
770256.2984798839,3674798.473883691
770318.5425864623,3674302.3633403676
770380.7866930407,3673806.2527970443
770443.0307996192,3673310.142253721
770505.2749061976,3672814.031710398
770567.519012776,3672317.9211670747
770629.7631193544,3671821.8106237515
770692.0072259328,3671325.7000804283
770754.2513325112,3670829.589537105
770816.4954390896,3670333.478993782
770878.739545668,3669837.3684504586
770940.9836522464,3669341.2579071354
771003.2277588248,3668845.147363812
771065.4718654032,3668349.036820489
771127.7159719816,3667852.9262771658
771189.96007856,3667356.8157338426
771252.2041851385,3666860.7051905193
771314.4482917169,3666364.594647196
771376.6923982953,3665868.484103873
771438.9365048737,3665372.3735605497
771501.1806114521,3664876.2630172265
771563.4247180305,3664380.1524739033
771625.6688246089,3663884.04193058
771687.9129311873,3663387.931387257
771750.1570377657,3662891.8208439336
771812.4011443441,3662395.7103006104
771874.6452509225,3661899.599757287
771936.889357501,3661403.489213964
771999.1334640794,3660907.3786706408
772061.3775706578,3660411.2681273175
772123.6216772362,3659915.1575839943
772185.8657838146,3659419.047040671
772248.109890393,3658922.936497348
772310.3539969714,3658426.8259540247
772372.5981035498,3657930.7154107015
772434.8422101282,3657434.6048673782
772497.0863167066,3656938.494324055
772559.330423285,3656442.383780732
772621.5745298634,3655946.2732374086
772683.8186364418,3655450.1626940854
772746.0627430202,3654954.052150762
772808.3068495987,3654457.941607439
772870.5509561771,3653961.8310641157
772932.7950627555,3653465.7205207925
772995.0391693339,3652969.6099774693
773057.2832759123,3652473.499434146
773119.5273824907,3651977.388890823
773181.7714890691,3651481.2783474997
772940.6452795996,3650960.9529121756
772688.4008971117,3650529.2437838227
772436.1565146239,3650097.53465547
772183.912132136,3649665.825527117
771931.6677496482,3649234.1163987643
771679.4233671604,3648802.4072704115
771427.1789846725,3648370.6981420587
771174.9346021847,3647938.989013706
770922.6902196968,3647507.279885353
770670.445837209,3647075.5707570002
770418.2014547212,3646643.8616286474
770165.9570722333,3646212.1525002946
769913.7126897455,3645780.443371942
769661.4683072576,3645348.734243589
769409.2239247698,3644917.025115236
769156.979542282,3644485.3159868834
768904.7351597941,3644053.6068585305
768652.4907773063,3643621.8977301777
768400.2463948184,3643190.188601825
768148.0020123306,3642758.479473472
767895.7576298427,3642326.7703451193
767643.5132473549,3641895.0612167665
767391.268864867,3641463.3520884137
767139.0244823792,3641031.642960061
766886.7800998914,3640599.933831708
766634.5357174035,3640168.224703355
766382.2913349157,3639736.5155750024
766130.0469524278,3639304.8064466496
765877.80256994,3638873.097318297
765625.5581874521,3638441.388189944
765373.3138049643,3638009.679061591
765121.0694224765,3637577.9699332383
764868.8250399886,3637146.2608048855
764616.5806575008,3636714.5516765327
764364.3362750129,3636282.84254818
764112.0918925251,3635851.133419827
763859.8475100372,3635419.4242914743
763607.6031275494,3634987.7151631215
763355.3587450616,3634556.0060347687
763103.1143625737,3634124.296906416
762850.8699800859,3633692.587778063
762598.625597598,3633260.87864971
762346.3812151102,3632829.1695213574
762094.1368326223,3632397.4603930046
761841.8924501345,3631965.751264652
761589.6480676467,3631534.042136299
761337.4036851588,3631102.333007946
761085.159302671,3630670.6238795933
760832.9149201831,3630238.9147512405
760580.6705376953,3629807.2056228877
760328.4261552074,3629375.496494535
760076.1817727196,3628943.787366182
759823.9373902318,3628512.0782378293
759571.6930077439,3628080.3691094765
759319.4486252561,3627648.6599811236
759067.2042427682,3627216.950852771
758814.9598602804,3626785.241724418
758228.9699601278,3626233.5520454906
757807.8402247941,3625964.015877198
757386.7104894604,3625694.4797089053
756965.5807541267,3625424.9435406127
756544.4510187929,3625155.40737232
756123.3212834592,3624885.8712040274
755702.1915481255,3624616.335035735
755281.0618127917,3624346.798867442
754859.932077458,3624077.2626991495
754438.8023421243,3623807.726530857
754017.6726067906,3623538.1903625643
753596.5428714568,3623268.6541942717
753175.4131361231,3622999.118025979
752754.2834007894,3622729.5818576864
752333.1536654556,3622460.0456893938
751912.0239301219,3622190.509521101
751490.8941947882,3621920.9733528085
751069.7644594545,3621651.437184516
750648.6347241207,3621381.9010162232
750227.504988787,3621112.3648479306
749806.3752534533,3620842.828679638
749385.2455181195,3620573.2925113454
748964.1157827858,3620303.7563430527
748542.9860474521,3620034.22017476
748121.8563121184,3619764.6840064675
747700.7265767846,3619495.147838175
747279.5968414509,3619225.611669882
746858.4671061172,3618956.0755015896
746437.3373707834,3618686.539333297
746016.2076354497,3618417.0031650043
745595.077900116,3618147.4669967117
745173.9481647823,3617877.930828419
744752.8184294485,3617608.3946601264
744331.6886941148,3617338.858491834
743910.5589587811,3617069.322323541
743489.4292234473,3616799.7861552485
743068.2994881136,3616530.249986956
742647.1697527799,3616260.7138186633
742226.0400174462,3615991.1776503706
741804.9102821124,3615721.641482078
741383.7805467787,3615452.1053137854
740962.650811445,3615182.5691454927
740673.5158893334,3614509.7326791584
740654.9627821441,3614010.077015512
740636.4096749547,3613510.421351866
740617.8565677654,3613010.7656882196
740599.303460576,3612511.1100245733
740580.7503533866,3612011.454360927
740562.1972461973,3611511.7986972807
740543.6441390079,3611012.1430336344
740525.0910318185,3610512.487369988
740506.5379246292,3610012.831706342
740487.9848174398,3609513.1760426955
740469.4317102504,3609013.5203790492
740450.8786030611,3608513.864715403
740432.3254958717,3608014.2090517567
740413.7723886824,3607514.5533881104
740395.219281493,3607014.897724464
740376.6661743036,3606515.242060818
740358.1130671143,3606015.5863971715
740339.5599599249,3605515.930733525
740321.0068527355,3605016.275069879
740302.4537455462,3604516.6194062326
740283.9006383568,3604016.9637425863
740265.3475311674,3603517.30807894
740246.7944239781,3603017.6524152937
740228.2413167887,3602517.9967516474
740209.6882095993,3602018.341088001
740191.13510241,3601518.685424355
740172.5819952206,3601019.0297607086
740154.0288880313,3600519.3740970623
740135.4757808419,3600019.718433416
740116.9226736525,3599520.0627697697
740098.3695664632,3599020.4071061234
740079.8164592738,3598520.751442477
740061.2633520844,3598021.095778831
740042.7102448951,3597521.4401151845
740024.1571377057,3597021.784451538
740005.6040305163,3596522.128787892
739987.050923327,3596022.4731242456
739968.4978161376,3595522.8174605994
739949.9447089483,3595023.161796953
739931.3916017589,3594523.506133307
739912.8384945695,3594023.8504696605
739894.2853873802,3593524.194806014
739875.7322801908,3593024.539142368
739857.1791730014,3592524.8834787216
739838.6260658121,3592025.2278150753
739820.0729586227,3591525.572151429
739801.5198514333,3591025.9164877827
739782.966744244,3590526.2608241364
739764.4136370546,3590026.60516049
739745.8605298653,3589526.949496844
739727.3074226759,3589027.2938331976
739708.7543154865,3588527.6381695513
739690.2012082972,3588027.982505905
739671.6481011078,3587528.3268422587
739653.0949939184,3587028.6711786124
739634.5418867291,3586529.015514966
739615.9887795397,3586029.35985132
739597.4356723503,3585529.7041876735
739578.882565161,3585030.048524027
739560.3294579716,3584530.392860381
739541.7763507823,3584030.7371967346
739523.2232435929,3583531.0815330883
739504.6701364035,3583031.425869442
739486.1170292142,3582531.7702057958
739467.5639220248,3582032.1145421495
739449.0108148354,3581532.458878503
739430.4577076461,3581032.803214857
739411.9046004567,3580533.1475512106
739393.3514932673,3580033.4918875643
739374.798386078,3579533.836223918
739356.2452788886,3579034.1805602717
739337.6921716993,3578534.5248966254
739319.1390645099,3578034.869232979
739300.5859573205,3577535.213569333
739282.0328501312,3577035.5579056866
739263.4797429418,3576535.9022420403
739244.9266357524,3576036.246578394
739226.3735285631,3575536.5909147477
739207.8204213737,3575036.9352511014
739189.2673141843,3574537.279587455
739170.714206995,3574037.623923809
739152.1610998056,3573537.9682601625
739133.6079926162,3573038.312596516
739115.0548854269,3572538.65693287
739096.5017782375,3572039.0012692236
739077.9486710482,3571539.3456055773
739059.3955638588,3571039.689941931
739040.8424566694,3570540.0342782848
739022.2893494801,3570040.3786146385
739003.7362422907,3569540.722950992
738985.1831351013,3569041.067287346
738966.630027912,3568541.4116236996
738948.0769207226,3568041.7559600533
738929.5238135332,3567542.100296407
738910.9707063439,3567042.4446327607
738892.4175991545,3566542.7889691144
738873.8644919652,3566043.133305468
738855.3113847758,3565543.477641822
738836.7582775864,3565043.8219781755
738818.2051703971,3564544.1663145293
738799.6520632077,3564044.510650883
738781.0989560183,3563544.8549872367
738762.545848829,3563045.1993235904
738743.9927416396,3562545.543659944
738725.4396344502,3562045.887996298
738706.8865272609,3561546.2323326515
738688.3334200715,3561046.576669005
738669.7803128822,3560546.921005359
738651.2272056928,3560047.2653417126
738632.6740985034,3559547.6096780663
738614.1209913141,3559047.95401442
738595.5678841247,3558548.2983507738
738577.0147769353,3558048.6426871275
738558.461669746,3557548.987023481
738539.9085625566,3557049.331359835
738521.3554553672,3556549.6756961886
738502.8023481779,3556050.0200325423
738484.2492409885,3555550.364368896
738465.6961337992,3555050.7087052497
738447.1430266098,3554551.0530416034
738428.5899194204,3554051.397377957
738410.0368122311,3553551.741714311
738391.4837050417,3553052.0860506645
738372.9305978523,3552552.4303870182
738354.377490663,3552052.774723372
738335.8243834736,3551553.1190597257
738317.2712762842,3551053.4633960794
738298.7181690949,3550553.807732433
738280.1650619055,3550054.152068787
738261.6119547162,3549554.4964051405
738243.0588475268,3549054.840741494
738224.5057403374,3548555.185077848
738205.9526331481,3548055.5294142016
738187.3995259587,3547555.8737505553
738168.8464187693,3547056.218086909
738150.29331158,3546556.5624232627
738131.7402043906,3546056.9067596165
738113.1870972012,3545557.25109597
738094.6339900119,3545057.595432324
738076.0808828225,3544557.9397686776
738057.5277756331,3544058.2841050313
738038.9746684438,3543558.628441385
738020.4215612544,3543058.9727777387
738001.868454065,3542559.3171140924
737983.3153468757,3542059.661450446
737964.7622396863,3541560.0057868
737946.209132497,3541060.3501231535
737927.6560253076,3540560.6944595072
737909.1029181182,3540061.038795861
737890.5498109289,3539561.3831322147
737871.9967037395,3539061.7274685684
737853.4435965501,3538562.071804922
737834.8904893608,3538062.416141276
737816.3373821714,3537562.7604776295
737797.784274982,3537063.104813983
737779.2311677927,3536563.449150337
737760.6780606033,3536063.7934866906
737742.124953414,3535564.1378230443
737723.5718462246,3535064.482159398
737705.0187390352,3534564.8264957517
737686.4656318459,3534065.1708321054
737667.9125246565,3533565.515168459
737649.3594174671,3533065.859504813
737630.8063102778,3532566.2038411666
737612.2532030884,3532066.5481775203
737593.700095899,3531566.892513874
737575.1469887097,3531067.2368502277
737556.5938815203,3530567.5811865814
737538.040774331,3530067.925522935
737519.4876671416,3529568.269859289
737500.9345599522,3529068.6141956425
737482.3814527629,3528568.9585319962
737463.8283455735,3528069.30286835
737445.2752383841,3527569.6472047037
737426.7221311948,3527069.9915410574
737408.1690240054,3526570.335877411
737389.615916816,3526070.680213765
737371.0628096267,3525571.0245501185
737352.5097024373,3525071.368886472
737333.956595248,3524571.713222826
737315.4034880586,3524072.0575591796
737296.8503808692,3523572.4018955333
737278.2972736799,3523072.746231887
737259.7441664905,3522573.0905682407
737241.1910593011,3522073.4349045944
737222.6379521118,3521573.779240948
737204.0848449224,3521074.123577302
737185.531737733,3520574.4679136556
737166.9786305437,3520074.8122500093
737148.4255233543,3519575.156586363
737129.872416165,3519075.5009227167
737111.3193089756,3518575.8452590704
737092.7662017862,3518076.189595424
737074.2130945969,3517576.533931778
737055.6599874075,3517076.8782681315
737037.1068802181,3516577.222604485
737018.5537730288,3516077.566940839
737000.0006658394,3515577.9112771926
736981.44755865,3515078.2556135464
736962.8944514607,3514578.5999499
736944.3413442713,3514078.944286254
736925.788237082,3513579.2886226075
736907.2351298926,3513079.632958961
736888.6820227032,3512579.977295315
736870.1289155139,3512080.3216316686
736851.5758083245,3511580.6659680223
736833.0227011351,3511081.010304376
736814.4695939458,3510581.3546407297
736795.9164867564,3510081.6989770834
736777.363379567,3509582.043313437
736758.8102723777,3509082.387649791
736740.2571651883,3508582.7319861446
736721.704057999,3508083.0763224983
736703.1509508096,3507583.420658852
736684.5978436202,3507083.7649952057
736666.0447364309,3506584.1093315594
736647.4916292415,3506084.453667913
736628.9385220521,3505584.798004267
736610.3854148628,3505085.1423406205
736591.8323076734,3504585.486676974
736573.279200484,3504085.831013328
736554.7260932947,3503586.1753496816
736536.1729861053,3503086.5196860353
736517.619878916,3502586.864022389
736499.0667717266,3502087.2083587428
736480.5136645372,3501587.5526950965
736461.9605573479,3501087.89703145
736443.4074501585,3500588.241367804
736424.8543429691,3500088.5857041576
736406.3012357798,3499588.9300405113
736387.7481285904,3499089.274376865
736369.195021401,3498589.6187132187
736350.6419142117,3498089.9630495724
736332.0888070223,3497590.307385926
