lat,lon,time
33.110939,35.232876,0.0
33.10991443522157,35.23333557845343,0.5
33.108889870443136,35.23379515690686,1.0
33.1078653056647,35.23425473536029,1.5
33.10684074088627,35.23471431381372,2.0
33.10581617610784,35.23517389226715,2.5
33.104791611329404,35.23563347072058,3.0
33.10376704655097,35.23609304917401,3.5
33.10274248177254,35.23655262762744,4.0
33.101717916994104,35.23701220608087,4.5
33.10069335221567,35.2374717845343,5.0
33.09966878743724,35.23793136298773,5.5
33.098644222658805,35.23839094144116,6.0
33.09761965788037,35.23885051989459,6.5
33.09659509310194,35.23931009834802,7.0
33.095570528323506,35.23976967680145,7.5
33.09454596354507,35.24022925525488,8.0
33.09352139876664,35.24068883370831,8.5
33.09249683398821,35.24114841216174,9.0
33.091472269209774,35.24160799061517,9.5
33.09044770443134,35.2420675690686,10.0
33.08942313965291,35.24252714752203,10.5
33.088398574874475,35.24298672597546,11.0
33.08737401009604,35.24344630442889,11.5
33.08634944531761,35.24390588288232,12.0
33.085324880539176,35.244365461335754,12.5
33.0835666209003,35.2451541457241,13.0
33.082484385228895,35.24545366415695,13.5
33.08140214955749,35.245753182589795,14.0
33.080319913886086,35.24605270102264,14.5
33.07923767821468,35.24635221945549,15.0
33.07815544254328,35.246651737888335,15.5
33.07707320687187,35.24695125632118,16.0
33.07599097120047,35.24725077475403,16.5
33.074908735529064,35.247550293186876,17.0
33.07382649985766,35.24784981161972,17.5
33.072744264186255,35.24814933005257,18.0
33.07166202851485,35.24844884848542,18.5
33.070579792843446,35.248748366918264,19.0
33.06949755717204,35.24904788535111,19.5
33.06841532150064,35.24934740378396,20.0
33.06733308582923,35.249646922216805,20.5
33.06625085015783,35.24994644064965,21.0
33.065168614486424,35.2502459590825,21.5
33.06408637881502,35.250545477515345,22.0
33.063004143143615,35.25084499594819,22.5
33.06192190747221,35.25114451438104,23.0
33.06083967180081,35.251444032813886,23.5
33.0597574361294,35.25174355124673,24.0
33.058675200458,35.25204306967958,24.5
33.05759296478659,35.25234258811243,25.0
33.05651072911519,35.252642106545274,25.5
33.054653500230586,35.2531561113038,26.0
33.054526758691395,35.25427185407089,26.5
33.054400017152204,35.255387596837984,27.0
33.05427327561301,35.256503339605075,27.5
33.05414653407382,35.257619082372166,28.0
33.05401979253463,35.25873482513926,28.5
33.05389305099544,35.25985056790635,29.0
33.05376630945625,35.26096631067344,29.5
33.05363956791706,35.26208205344053,30.0
33.05351282637787,35.26319779620762,30.5
33.05338608483868,35.26431353897471,31.0
33.05325934329949,35.2654292817418,31.5
33.053132601760296,35.26654502450889,32.0
33.053005860221106,35.267660767275984,32.5
33.052879118681915,35.268776510043075,33.0
